Company,Date,Open,High,Low,Close,Adj Close,Volume
Amazon,6/1/17,998.590027,1017,927,968,968,96120800
Amazon,7/1/17,972.789978,1083.310059,951,987.780029,987.780029,78812400
Amazon,8/1/17,996.109985,1006.400024,936.330017,980.599976,980.599976,77261700
Amazon,9/1/17,984.200012,1000,931.75,961.349976,961.349976,59291800
Amazon,10/1/17,964,1122.790039,950.369995,1105.280029,1105.280029,83334100
Amazon,11/1/17,1105.400024,1213.410034,1086.869995,1176.75,1176.75,77165000
Amazon,12/1/17,1172.050049,1194.780029,1124.73999,1169.469971,1169.469971,57760200
Amazon,1/1/18,1172,1472.579956,1170.51001,1450.890015,1450.890015,96371200
Amazon,2/1/18,1445,1528.699951,1265.930054,1512.449951,1512.449951,137784000
Amazon,3/1/18,1513.599976,1617.540039,1365.199951,1447.339966,1447.339966,130400100
Amazon,4/1/18,1417.619995,1638.099976,1352.880005,1566.130005,1566.130005,129919600
Amazon,5/1/18,1563.219971,1615.599976,1546.02002,1610.150024,1610.150024,61551300
Amazon,5/25/18,1603,1614.060059,1600.447388,1610.150024,1610.150024,2483960
Google,6/1/17,968.950012,988.25,908.309998,908.72998,908.72998,43577200
Google,7/1/17,912.179993,986.200012,894.789978,930.5,930.5,36679200
Google,8/1/17,932.380005,941.97998,903.400024,939.330017,939.330017,27958000
Google,9/1/17,941.130005,959.786011,909.700012,959.109985,959.109985,28053800
Google,10/1/17,959.97998,1048.390015,947.840027,1016.640015,1016.640015,31779700
Google,11/1/17,1017.210022,1062.375,1013.01001,1021.409973,1021.409973,24265500
Google,12/1/17,1015.799988,1078.48999,988.280029,1046.400024,1046.400024,28163700
Google,1/1/18,1048.339966,1186.890015,1045.22998,1169.939941,1169.939941,28738400
Google,2/1/18,1162.609985,1174,992.559998,1104.72998,1104.72998,42384100
Google,3/1/18,1107.869995,1177.050049,980.640015,1031.790039,1031.790039,45353300
Google,4/1/18,1022.820007,1094.165039,990.369995,1017.330017,1017.330017,41715900
Google,5/1/18,1013.659973,1110.75,1006.289978,1075.660034,1075.660034,25703900
Google,5/25/18,1079.02002,1082.5,1073.775024,1075.660034,1075.660034,793465